	Peak_area	p_succes	GWAS_init	bg_1	bg_2	bg_3	bg_4	bg_5	P_gwas	P_ss1	FOLD1	P_ss2	FOLD2	P_ss3	FOLD3	P_ss4	FOLD4	P_ss5	FOLD5	MEAN
A_Cardiomyocyte	55867941	0.018321467822868642	30	20	14	20	18	14	8.040620831298949e-05	0.03056545432703364	2.703191065314184	0.1068346415451799	4.215753542726803	0.03056545432703364	2.703191065314184	0.058420297484312884	3.3197584911131295	0.1068346415451799	4.215753542726803	1.9400336380107568
Acinar	47245979	0.015493960731583567	28	17	14	19	16	12	2.8275792990716728e-05	0.0379969172991662	3.2026614791049384	0.09096027272242131	4.368816086607063	0.01574809642432901	2.523106289204906	0.054148198585546585	3.5916991361270187	0.11526444963933025	4.847663662965318	2.090007519042319
Adipocyte	32264319	0.010580838881913858	25	11	10	12	9	9	1.0247126856136731e-06	0.07742770010368824	5.390494340704715	0.10424516023476971	6.0995304058757345	0.05264770396507622	4.6842652581760325	0.12742501150028562	6.693969516469131	0.12742501150028562	6.693969516469131	3.3304413249883513
Airway_Goblet	6043939	0.00198206398750011	2	1	5	4	5	1	0.25405583506307555	0.33097893283500834	1.239215454625884	0.015201214970462026	0.3272997765489228	0.04970250244903857	0.4564750690731146	0.015201214970462026	0.3272997765489228	0.33097893283500834	1.239215454625884	0.4445099329608555
Alpha_1	32653547	0.010708483254520314	25	6	6	15	9	7	1.2555409891241056e-06	0.11326489844024171	6.238651053829686	0.11326489844024171	6.238651053829686	0.011281821472279099	3.0299374365884333	0.12860598729316292	6.625027475528958	0.1345123613740289	6.773316174990822	3.254805362594144
Alpha_2	12854203	0.004215438450705058	13	2	5	8	5	3	2.7679942203971762e-05	0.2038243649143201	6.598443803162605	0.11811344654969987	4.913044723761908	0.012080226583284347	2.376440690681185	0.11811344654969987	4.913044723761908	0.22203912500473297	6.973746323359069	2.91611850104601
Alveolar_Cap_Endo	14120741	0.00463078998860119	17	6	5	10	11	2	1.86572360706034e-07	0.08174754569693778	6.187582793607834	0.1370972520859681	7.797655708580456	0.0026228563643948015	2.6069604201656444	0.0008475124068092734	2.190583548174953	0.17823990713529947	8.98424184289713	3.120647982379832
Alveolar_Type_1	26638643	0.008735941075211364	23	6	5	12	11	7	4.7154672528408134e-07	0.15415700873519383	7.790873330592036	0.13647963398947374	7.314417969654712	0.021844671040071144	3.809627650560865	0.03898359450538097	4.489669944302217	0.14905508303444517	7.653118861059213	3.489341193193157
Alveolar_Type_2	38493317	0.012623591565885389	28	14	10	14	15	9	8.002067303722858e-07	0.04721211472842084	4.598072084979164	0.12558578813004442	6.7662543584416035	0.04721211472842084	4.598072084979164	0.030582710614637704	4.025553705769831	0.12840409433538097	6.8394136158013765	3.017683395308847
Alveolar_Type_2__Immune	15679837	0.005142083705274286	16	6	6	9	8	2	3.2550606786013987e-06	0.10327749250801879	5.565387982611859	0.10327749250801879	5.565387982611859	0.012767173141509122	2.897421032898235	0.02902220503347513	3.569602191074589	0.14781112235806168	6.609042433429092	2.722191068407411
Astrocyte_1	5330268	0.0017480209920259348	4	1	3	3	2	0	0.03601686820345392	0.34990216063541757	3.165186642816404	0.106709994124549	1.4853896098797104	0.106709994124549	1.4853896098797104	0.23681138971247426	2.307384944463438	0.25816609138771573	2.454501086254391	1.2895832625158823
Astrocyte_2	231364	7.587407027171774e-05	0	0	0	0	0	0	0.9429625051183234	0.9429625051183234	1.0	0.9429625051183234	1.0	0.9429625051183234	1.0	0.9429625051183234	1.0	0.9429625051183234	1.0	0.9746500022748106
BBB_Endothelial	143933	4.7201736469023486e-05	0	0	0	0	0	0	0.9641243428876408	0.9641243428876408	1.0	0.9641243428876408	1.0	0.9641243428876408	1.0	0.9641243428876408	1.0	0.9641243428876408	1.0	0.9840552635056182
Beta_1	34256462	0.01123414708013532	24	9	10	18	11	8	8.19744267588848e-06	0.13182235866627973	5.779839187299734	0.11457692409387144	5.405788345549045	0.0020177637543180704	1.887227038685812	0.09041583103390576	4.873096722538045	0.13631893110214133	5.8771250628447635	2.6851562007668486
Beta_2	18190907	0.005965570080151978	15	3	5	13	8	5	6.573398396546583e-05	0.16212226737292285	5.292882671874378	0.17332404906041818	5.494657481460807	0.0006626892881482979	1.3157023744039642	0.050507287688046014	3.225406315057476	0.17332404906041818	5.494657481460807	2.357902711039385
Cardiac_Fibroblast	65214494	0.021386599040864245	38	31	18	20	16	13	1.9402110422122026e-06	0.00042660187253832705	1.6950117513845522	0.08893648270687117	5.435381147262303	0.06380081664310713	4.779347746859319	0.0993059233418789	5.694924756628768	0.07282537007181457	5.020712112952489	2.550027345316789
Cardiac_Pericyte_1	27798952	0.009116455617676511	18	8	6	9	10	6	0.00023684222880751552	0.13200105272521526	4.12263778425613	0.14825250013809455	4.373401352743468	0.10336346531183783	3.6783884918719782	0.07274981643911427	3.1854177485279944	0.14825250013809455	4.373401352743468	2.245096112463353
Cardiac_Pericyte_2	9633536	0.003159245117775983	10	4	4	6	5	2	0.00017710312498587266	0.1292911909980658	4.222920525853785	0.1292911909980658	4.222920525853785	0.025631842250853708	2.357796756537864	0.06310259139933797	3.1266011117683847	0.2595155756361451	6.4041303635764955	2.3124344982083023
Cardiac_Pericyte_3	5865260	0.0019234675636741032	6	1	2	6	5	1	0.0033807906216498525	0.33610689384347764	5.218297566043758	0.25035019922065904	4.108360241550892	0.0033807906216498525	1.0	0.0136874379315576	1.325863127036351	0.33610689384347764	5.218297566043758	1.9415937580324558
Cardiac_Pericyte_4	1669843	0.0005476123559617571	0	0	1	2	4	1	0.6544447850740888	0.6544447850740888	1.0	0.2775396913296613	0.3307621538545296	0.05877406488364801	0.1495977035749701	0.0008751820831702082	0.0602135103696036	0.2775396913296613	0.3307621538545296	0.27622935014219707
Chief	34701193	0.011379993240929616	25	9	11	14	15	10	3.4538971067571983e-06	0.13225033272475353	6.216333424089692	0.09310737872543026	5.297387367679016	0.028769575856271597	3.544097843870055	0.016779089921864762	3.0766073615732417	0.11645839957770057	5.84870413888287	2.693138286686238
Cilliated	2319987	0.0007608221532627013	1	0	2	2	1	1	0.32697275851064705	0.5548261400968476	1.89760230307901	0.09622208557412197	0.47750209440153785	0.09622208557412197	0.47750209440153785	0.32697275851064705	1.0	0.32697275851064705	1.0	0.6332217977835137
Club	5759685	0.0018888450425863946	2	1	3	4	4	1	0.24797112665757415	0.33902692896885556	1.2891506345448196	0.12075763035184771	0.6596323969521612	0.04404801989996424	0.4465826046605327	0.04404801989996424	0.4465826046605327	0.33902692896885556	1.2891506345448196	0.5198866082759442
Colon_Epithelial_1	51462540	0.016876749953843664	38	17	13	15	17	16	7.064627312589642e-09	0.05608030978581474	6.514528869169166	0.1108577286601612	8.532894077006064	0.0899718454364783	7.793252128846053	0.05608030978581474	6.514528869169166	0.07326714534067454	7.180845137639064	4.096247345672516
